scenario,arm,arm_label,lambda,cost_std,seed,horizon,cycle,price,observed_demand,estimated_elasticity,true_elasticity,residual_bias,realized_profit,oracle_price,oracle_profit,cumulative_regret
reference,greedy,Naive (greedy),0.6,0.3,2,200,59,16.688456873764647,1.6848148508776004,-1.558018261534933e-16,-1.5,1.4999999999999998,26.778057122999094,1.5893768451204437,45.55468773090227,772.0859656281777
reference,greedy,Naive (greedy),0.6,0.3,2,200,60,20.642733762617027,1.0604274364798958,-0.8653692682750108,-1.5,0.6346307317249892,20.84773451983711,1.9659746440587664,35.46605344907572,786.7042845574164
reference,greedy,Naive (greedy),0.6,0.3,2,200,61,13.624998996430792,2.438122961505873,-0.8653692682750108,-1.5,0.6346307317249892,31.63754562256418,1.297618952041029,53.821620241690866,808.8883591765431
reference,greedy,Naive (greedy),0.6,0.3,2,200,62,23.933295042488208,0.7494291074268518,-0.8653692682750108,-1.5,0.6346307317249892,17.082198039500412,2.279361432617926,29.060141787114627,820.8663029241573
reference,greedy,Naive (greedy),0.6,0.3,2,200,63,14.242789877732731,2.2089454225538754,-0.8653692682750108,-1.5,0.6346307317249892,29.963376671251797,1.3564561788316902,50.973531369770704,841.8764576226762
reference,greedy,Naive (greedy),0.6,0.3,2,200,64,18.79127272431453,1.212411085292157,-0.8994998844138828,-1.5,0.6005001155861172,21.697854626387702,1.7896450213632904,36.91227049014794,857.0908734864364
reference,greedy,Naive (greedy),0.6,0.3,2,200,65,15.441761895436349,1.8022189790336638,-0.8994998844138828,-1.5,0.6005001155861172,26.504225102546883,1.4706439900415587,45.08884103969951,875.675489423589
reference,greedy,Naive (greedy),0.6,0.3,2,200,66,18.18447032165389,1.2672320591311002,-0.8994998844138828,-1.5,0.6005001155861172,21.946613114207462,1.7318543163479914,37.33545656967463,891.0643328790562
reference,greedy,Naive (greedy),0.6,0.3,2,200,67,14.08591389579492,2.1232115571428625,-0.8994998844138828,-1.5,0.6005001155861172,28.48321445378192,1.3415156091233271,48.455486329976374,911.0366047552507
reference,greedy,Naive (greedy),0.6,0.3,2,200,68,13.10083317874479,2.3773472970825957,-0.9959631197437815,-1.5,0.5040368802562185,29.662124140018012,1.2476983979756953,50.46104082354271,931.8355214387753
reference,greedy,Naive (greedy),0.6,0.3,2,200,69,15.716013715503003,1.5983049063038273,-0.9959631197437815,-1.5,0.5040368802562185,23.922839837168276,1.4967632110002873,40.69740217503722,948.6100837766443
reference,greedy,Naive (greedy),0.6,0.3,2,200,70,17.1246591520866,1.3478768204257123,-0.9959631197437815,-1.5,0.5040368802562185,21.9827915512272,1.6309199192463446,37.39700275370482,964.0242949791219
reference,greedy,Naive (greedy),0.6,0.3,2,200,71,19.222002929654867,1.0850905678173337,-0.9959631197437815,-1.5,0.5040368802562185,19.864394355738717,1.830666945681417,33.79319718413129,977.9530978075145
reference,greedy,Naive (greedy),0.6,0.3,2,200,72,21.439125076388784,0.8975240777027351,-1.0248960960725493,-1.5,0.4751039039274507,18.3258390104185,2.0418214358465523,31.175815362286887,990.8030741593828
reference,greedy,Naive (greedy),0.6,0.3,2,200,73,33.201374334307516,0.38854629050671585,-1.0248960960725493,-1.5,0.4751039039274507,12.285972226019112,3.162035650886432,20.900827581451097,999.4179295148149
reference,greedy,Naive (greedy),0.6,0.3,2,200,74,26.79453602032836,0.665106080560356,-1.0248960960725493,-1.5,0.4751039039274507,16.972579840870356,2.551860573364608,28.8736583620582,1011.3190080360027
reference,greedy,Naive (greedy),0.6,0.3,2,200,75,19.46567537237489,1.2928926365323574,-1.0248960960725493,-1.5,0.4751039039274507,23.968598432450236,1.8538738449880867,40.77524624447834,1028.1256558480309
reference,greedy,Naive (greedy),0.6,0.3,2,200,76,26.109466197824382,0.697969189648729,-1.020697839135386,-1.5,0.47930216086461397,17.355812346910824,2.4866158283642292,29.52561135934477,1040.2954548604648
reference,greedy,Naive (greedy),0.6,0.3,2,200,77,17.079061821380005,1.6682707360992768,-1.020697839135386,-1.5,0.47930216086461397,27.13571336822731,1.6265773163219066,46.163124535755784,1059.3228660279933
reference,greedy,Naive (greedy),0.6,0.3,2,200,78,32.42954382302276,0.4429433648538062,-1.020697839135386,-1.5,0.47930216086461397,13.68042977299397,3.0885279831450267,23.273070978963293,1068.9155072339627
reference,greedy,Naive (greedy),0.6,0.3,2,200,79,24.763369536364824,0.814037933615255,-1.020697839135386,-1.5,0.47930216086461397,19.198402063555598,2.358416146320461,32.66021472243334,1082.3773198928404
reference,greedy,Naive (greedy),0.6,0.3,2,200,80,13.981997891964278,2.5510488382254017,-1.0505191063302535,-1.5,0.44948089366974653,33.97024712225284,1.331618846853742,57.789995307065695,1106.1970680776533
reference,greedy,Naive (greedy),0.6,0.3,2,200,81,26.083521560548427,0.6831973850611759,-1.0505191063302535,-1.5,0.44948089366974653,16.963226671435066,2.5086953511734653,28.5894681504074,1117.8233095566256
reference,greedy,Naive (greedy),0.6,0.3,2,200,82,26.562907980915263,0.6789338255468055,-1.0505191063302535,-1.5,0.44948089366974653,17.167185845985983,2.5548024108125658,28.981926198409415,1129.6380499090492
reference,greedy,Naive (greedy),0.6,0.3,2,200,83,9.290659244961336,5.679503191669419,-1.0505191063302535,-1.5,0.44948089366974653,50.22881403727907,0.8935692829308752,84.88831876407191,1164.297554635842
reference,greedy,Naive (greedy),0.6,0.3,2,200,84,16.614230942362983,1.6042834709309117,-1.0768503822052982,-1.5,0.42314961779470184,25.372157367200323,1.5979454243429234,42.89295669669943,1181.8183539653412
reference,greedy,Naive (greedy),0.6,0.3,2,200,85,12.155582719806539,2.9275351017056477,-1.0768503822052982,-1.5,0.42314961779470184,33.0462761419496,1.7349878746055094,38.608076162454324,1187.380153985846
reference,greedy,Naive (greedy),0.6,0.3,2,200,86,7.856817511665559,6.628956767079811,-1.0768503822052982,-1.5,0.42314961779470184,48.3655895677968,1.1214174943268307,59.432830403723855,1198.447394821773
reference,greedy,Naive (greedy),0.6,0.3,2,200,87,10.173456816087834,3.625253835346616,-1.0768503822052982,-1.5,0.42314961779470184,34.24929214931947,1.4520755298694625,43.28508872482261,1207.4831913972762
reference,greedy,Naive (greedy),0.6,0.3,2,200,88,10.542638531018227,3.232300713001092,-1.1101764498244204,-1.5,0.38982355017557957,31.645044291980692,1.5047694906358697,41.25815988913328,1217.0963069944287
reference,greedy,Naive (greedy),0.6,0.3,2,200,89,11.731996082040977,2.5374256631275505,-1.1101764498244204,-1.5,0.38982355017557957,26.814717555025393,2.328620243885941,26.565140782422848,1216.8467302218262
reference,greedy,Naive (greedy),0.6,0.3,2,200,90,11.026814947465681,2.855853807570739,-1.1101764498244204,-1.5,0.38982355017557957,28.365735427083006,2.188652666834652,30.3939082948366,1218.8749030895797
reference,greedy,Naive (greedy),0.6,0.3,2,200,91,22.15455733610453,0.6983395729278121,-1.1101764498244204,-1.5,0.38982355017557957,13.935986582085073,4.397337873830071,15.655157938130019,1220.5940744456245
reference,greedy,Naive (greedy),0.6,0.3,2,200,92,8.952324816014366,4.8115980100067155,-1.2014028327000152,-1.5,0.29859716729998476,38.80012792244059,1.776898376937314,45.773515302539785,1227.5674618257237
reference,greedy,Naive (greedy),0.6,0.3,2,200,93,8.430932925147264,5.090973655523315,-1.2014028327000152,-1.5,0.29859716729998476,35.72628284631836,2.826718444824029,27.319040780388654,1219.160219759794
reference,greedy,Naive (greedy),0.6,0.3,2,200,94,6.107955352352455,9.166897788155348,-1.2014028327000152,-1.5,0.29859716729998476,46.6046865261654,2.0478718319722313,38.74143727590404,1211.2969705095327
reference,greedy,Naive (greedy),0.6,0.3,2,200,95,6.470257253568887,7.560979492014337,-1.2014028327000152,-1.5,0.29859716729998476,40.72029886291007,2.1693442094488216,35.533521942134385,1206.110193588757
reference,greedy,Naive (greedy),0.6,0.3,2,200,96,4.212470066718178,16.863629829258826,-1.2280894242401228,-1.5,0.2719105757598772,59.12882335421156,1.4123545924964631,53.859345561060294,1200.8407157956058
reference,greedy,Naive (greedy),0.6,0.3,2,200,97,3.0349872699162974,29.794879488228382,-1.2280894242401228,-1.5,0.2719105757598772,73.63232527746493,1.1273584566525152,63.40713005207617,1190.615520570217
reference,greedy,Naive (greedy),0.6,0.3,2,200,98,4.2773458798736455,13.590875333368391,-1.2280894242401228,-1.5,0.2719105757598772,47.336027380114615,1.5888376526325063,41.85496377605461,1185.1344569661571
reference,greedy,Naive (greedy),0.6,0.3,2,200,99,6.767472879073498,5.172210331993037,-1.2280894242401228,-1.5,0.2719105757598772,28.501827681061993,2.5138055292734274,26.047068953064265,1182.6796982381593
reference,greedy,Naive (greedy),0.6,0.3,2,200,100,8.65657239660137,3.2573332531752888,-1.3400182505079257,-1.5,0.15998174949207433,22.960332178917653,3.2155192852596164,21.73929118889675,1181.4586572481385
reference,greedy,Naive (greedy),0.6,0.3,2,200,101,4.723908522631653,11.657780209353277,-1.3400182505079257,-1.5,0.15998174949207433,41.09666959017648,2.397303336452125,31.856010323574527,1172.2179979815364
reference,greedy,Naive (greedy),0.6,0.3,2,200,102,4.576449556312101,11.845132013978649,-1.3400182505079257,-1.5,0.15998174949207433,40.45366481335862,2.322470415735296,33.01842183949764,1164.7827550076754
